C_VEHS,C_CONF,C_RCFG,C_WTHR,C_RSUR,C_RALN,C_TRAF,C_HOUR_N,C_SEV
3.0,0.7970215113072255,0,1,1,1,1,1.0,1
3.0,0.7970215113072255,0,1,1,1,1,1.0,1
1.0,0.42587666263603385,0,0,1,0,1,1.0,1
1.0,0.375916675523435,1,0,1,0,1,1.0,1
2.0,0.7970215113072255,0,1,1,0,0,0.0,1
2.0,0.49142978063059883,1,1,1,1,0,1.0,1
2.0,0.5530207677784771,1,1,1,1,0,0.0,1
1.0,0.375916675523435,0,0,1,1,1,1.0,1
2.0,0.7970215113072255,1,1,1,0,0,0.0,1
2.0,0.49142978063059883,1,1,1,0,1,0.0,1
2.0,0.7970215113072255,1,1,1,0,0,0.0,1
3.0,0.49142978063059883,1,1,1,1,1,0.0,1
2.0,0.7970215113072255,1,1,1,0,1,0.0,1
2.0,0.7970215113072255,0,1,1,0,0,0.0,1
2.0,0.7970215113072255,1,1,1,1,1,0.0,1
2.0,0.7970215113072255,1,1,0,1,1,0.0,1
2.0,0.544515494343335,1,1,1,0,0,0.0,1
1.0,0.49142978063059883,0,0,1,1,1,1.0,1
3.0,0.7970215113072255,0,1,1,1,1,1.0,1
1.0,0.49142978063059883,0,1,1,0,1,1.0,1
2.0,0.7970215113072255,1,1,1,1,0,0.0,1
2.0,0.49142978063059883,1,0,1,0,0,1.0,1
2.0,0.7970215113072255,1,1,1,1,0,1.0,1
2.0,0.7970215113072255,0,1,1,1,1,0.0,1
3.0,0.7970215113072255,0,1,1,1,0,0.0,1
2.0,0.49142978063059883,1,1,1,1,0,0.0,1
1.0,0.15046867291563887,0,0,1,1,1,0.0,1
1.0,0.375916675523435,0,0,0,0,1,0.0,1
2.0,0.7970215113072255,1,1,0,1,1,0.0,1
1.0,0.42587666263603385,1,1,1,1,1,0.0,1
1.0,0.49142978063059883,0,0,0,1,1,0.0,1
1.0,0.49142978063059883,1,1,0,1,1,1.0,1
2.0,0.6413453174833285,1,1,0,1,0,0.0,1
2.0,0.49142978063059883,1,1,0,1,1,0.0,1
3.0,0.7970215113072255,0,1,1,0,1,0.0,1
1.0,0.42587666263603385,0,1,1,1,1,1.0,1
2.0,0.15046867291563887,0,1,1,0,1,0.0,1
2.0,0.544515494343335,0,0,0,1,1,0.0,1
1.0,0.375916675523435,1,0,1,0,1,0.0,1
2.0,0.5530207677784771,1,0,1,1,0,1.0,1
2.0,0.5530207677784771,1,0,0,1,0,0.0,1
1.0,0.375916675523435,0,0,0,0,1,0.0,1
2.0,0.6413453174833285,1,1,1,1,0,0.0,1
2.0,0.5530207677784771,1,1,1,0,0,0.0,1
2.0,0.7970215113072255,1,1,1,1,0,0.0,1
2.0,0.6413453174833285,1,1,1,0,1,0.0,1
1.0,0.49142978063059883,1,1,1,1,1,0.0,1
2.0,0.49142978063059883,0,1,1,1,1,1.0,1
2.0,0.7970215113072255,1,1,1,1,1,0.0,1
2.0,0.5530207677784771,1,1,1,1,0,1.0,1
2.0,0.5530207677784771,1,1,1,0,0,0.0,1
2.0,0.7970215113072255,1,1,1,1,0,0.0,1
2.0,0.7970215113072255,0,1,1,1,1,0.0,1
2.0,0.5530207677784771,1,1,1,1,0,0.0,1
2.0,0.7970215113072255,1,1,1,1,1,0.0,1
2.0,0.6413453174833285,0,1,1,0,1,1.0,1
1.0,0.49142978063059883,0,1,1,1,1,1.0,1
1.0,0.375916675523435,1,0,1,0,1,0.0,1
2.0,0.7970215113072255,1,1,1,1,1,0.0,1
2.0,0.6413453174833285,1,1,1,1,0,0.0,1
3.0,0.7970215113072255,0,1,1,1,0,1.0,1
1.0,0.375916675523435,0,1,1,1,1,0.0,1
1.0,0.49142978063059883,1,1,1,0,0,0.0,1
2.0,0.544515494343335,1,0,0,1,1,0.0,1
1.0,0.375916675523435,1,1,1,1,1,1.0,1
2.0,0.5530207677784771,1,1,1,1,1,0.0,1
2.0,0.49142978063059883,0,1,1,1,1,0.0,1
1.0,0.375916675523435,0,1,1,1,1,0.0,1
1.0,0.375916675523435,0,1,0,0,1,1.0,1
1.0,0.42587666263603385,1,1,0,0,1,0.0,1
2.0,0.49142978063059883,1,1,1,1,0,0.0,1
2.0,0.49142978063059883,0,0,0,0,1,0.0,1
2.0,0.5530207677784771,1,1,1,1,0,0.0,1
1.0,0.375916675523435,0,1,0,0,1,1.0,1
2.0,0.15046867291563887,0,1,1,0,1,0.0,1
1.0,0.49142978063059883,0,1,1,0,1,0.0,1
1.0,0.49142978063059883,0,1,1,1,1,1.0,1
3.0,0.544515494343335,0,1,1,1,1,1.0,1
3.0,0.7970215113072255,1,1,1,1,0,0.0,1
2.0,0.49142978063059883,1,0,1,1,1,1.0,1
2.0,0.49142978063059883,0,1,1,1,1,1.0,1
2.0,0.15046867291563887,0,1,1,1,1,0.0,1
1.0,0.375916675523435,1,1,1,1,1,0.0,1
3.0,0.49142978063059883,1,0,1,1,0,1.0,1
4.0,0.6413453174833285,1,1,0,0,0,1.0,1
1.0,0.49142978063059883,0,1,1,0,1,0.0,1
2.0,0.7970215113072255,1,1,1,1,1,0.0,1
2.0,0.6413453174833285,1,0,0,1,1,0.0,1
1.0,0.49142978063059883,0,1,0,1,1,0.0,1
2.0,0.7970215113072255,0,1,0,0,1,0.0,1
2.0,0.5530207677784771,1,1,1,1,0,0.0,1
2.0,0.5530207677784771,0,1,1,1,1,0.0,1
2.0,0.49142978063059883,1,1,1,0,0,1.0,1
2.0,0.15046867291563887,1,1,1,1,1,0.0,1
2.0,0.7970215113072255,1,0,1,1,0,0.0,1
2.0,0.6293785310734463,0,1,0,1,1,0.0,1
2.0,0.6293785310734463,1,1,0,1,1,0.0,1
1.0,0.49142978063059883,1,1,1,1,0,0.0,1
2.0,0.15046867291563887,0,1,1,0,1,0.0,1
1.0,0.375916675523435,0,1,1,1,1,0.0,1
2.0,0.6413453174833285,1,1,1,1,1,0.0,1
2.0,0.5530207677784771,1,0,1,1,1,0.0,1
1.0,0.42587666263603385,1,1,1,1,0,1.0,1
2.0,0.5530207677784771,1,1,0,1,1,1.0,1
2.0,0.49142978063059883,1,1,1,1,1,1.0,1
2.0,0.544515494343335,1,1,1,1,1,0.0,1
2.0,0.5530207677784771,1,1,1,1,0,1.0,1
2.0,0.5530207677784771,1,1,1,1,0,0.0,1
2.0,0.5530207677784771,0,1,1,0,1,0.0,1
1.0,0.49142978063059883,1,0,1,1,0,1.0,1
1.0,0.375916675523435,0,0,1,0,1,0.0,1
2.0,0.5530207677784771,1,1,1,1,1,0.0,1
2.0,0.5530207677784771,1,1,1,1,1,0.0,1
1.0,0.42587666263603385,0,1,0,1,1,1.0,1
1.0,0.49142978063059883,0,1,1,0,1,0.0,1
2.0,0.49142978063059883,1,0,1,1,1,0.0,1
3.0,0.7970215113072255,0,0,1,0,1,1.0,1
1.0,0.375916675523435,0,1,1,0,1,1.0,1
2.0,0.544515494343335,1,1,1,1,0,0.0,1
1.0,0.375916675523435,0,1,1,0,1,1.0,1
2.0,0.7970215113072255,1,1,1,1,1,0.0,1
1.0,0.49142978063059883,1,1,1,0,0,0.0,1
2.0,0.6293785310734463,1,0,1,1,1,0.0,1
2.0,0.15046867291563887,0,1,1,0,1,1.0,1
3.0,0.7970215113072255,1,1,1,1,0,0.0,1
2.0,0.5530207677784771,1,1,1,1,1,0.0,1
4.0,0.7970215113072255,0,1,1,1,1,0.0,1
2.0,0.49142978063059883,1,1,1,1,1,0.0,1
3.0,0.6413453174833285,1,0,1,1,1,0.0,1
2.0,0.544515494343335,0,1,0,1,1,1.0,1
2.0,0.7970215113072255,1,1,1,1,1,0.0,1
3.0,0.5530207677784771,1,1,1,1,0,0.0,1
2.0,0.5530207677784771,1,0,1,1,0,0.0,1
2.0,0.7970215113072255,1,0,1,1,0,0.0,1
2.0,0.7970215113072255,1,1,1,1,0,1.0,1
3.0,0.7970215113072255,1,1,1,1,0,0.0,1
1.0,0.49142978063059883,1,1,1,0,1,1.0,1
2.0,0.7970215113072255,1,1,1,0,0,0.0,1
2.0,0.49142978063059883,1,1,1,1,1,0.0,1
3.0,0.7970215113072255,0,1,1,1,1,0.0,1
2.0,0.5530207677784771,1,1,1,0,0,0.0,1
2.0,0.5530207677784771,1,1,1,1,0,0.0,1
2.0,0.6413453174833285,1,1,1,1,1,0.0,1
3.0,0.49142978063059883,1,0,1,0,1,0.0,1
2.0,0.5530207677784771,0,1,1,1,1,0.0,1
1.0,0.49142978063059883,0,1,0,1,1,0.0,1
1.0,0.42587666263603385,1,1,1,0,0,0.0,1
2.0,0.544515494343335,0,1,1,1,1,0.0,1
1.0,0.375916675523435,1,1,1,0,1,1.0,1
2.0,0.6413453174833285,1,1,1,1,0,1.0,1
2.0,0.7970215113072255,1,1,1,1,0,0.0,1
1.0,0.42587666263603385,0,1,1,0,1,1.0,1
2.0,0.5530207677784771,1,1,1,1,0,0.0,1
2.0,0.7970215113072255,1,1,1,1,0,0.0,1
2.0,0.7970215113072255,0,1,1,1,1,0.0,1
1.0,0.49142978063059883,1,1,1,1,0,0.0,1
2.0,0.49142978063059883,0,0,0,1,0,0.0,1
2.0,0.5530207677784771,1,1,1,1,0,1.0,1
3.0,0.7970215113072255,1,1,1,1,1,0.0,1
3.0,0.7970215113072255,1,0,1,1,1,0.0,1
1.0,0.49142978063059883,0,1,1,1,1,0.0,1
1.0,0.5530207677784771,1,1,1,0,1,0.0,1
1.0,0.49142978063059883,0,0,0,1,1,0.0,1
2.0,0.5530207677784771,1,0,0,1,0,1.0,1
2.0,0.49142978063059883,1,1,1,1,0,1.0,1
2.0,0.5530207677784771,1,1,1,1,1,0.0,1
1.0,0.375916675523435,0,0,1,0,1,0.0,1
2.0,0.7970215113072255,1,1,1,1,0,0.0,1
1.0,0.375916675523435,0,1,1,1,1,1.0,1
1.0,0.42587666263603385,0,0,1,0,1,1.0,1
3.0,0.7970215113072255,0,1,1,1,1,0.0,1
1.0,0.49142978063059883,0,1,1,1,1,1.0,1
1.0,0.375916675523435,1,0,0,0,0,1.0,1
2.0,0.7970215113072255,1,1,1,1,1,0.0,1
2.0,0.49142978063059883,1,1,1,1,0,0.0,1
3.0,0.49142978063059883,1,1,1,0,0,0.0,1
3.0,0.7970215113072255,1,1,1,1,1,0.0,1
2.0,0.15046867291563887,0,0,0,0,1,1.0,1
1.0,0.375916675523435,1,0,1,1,1,1.0,1
1.0,0.375916675523435,0,1,1,1,1,0.0,1
1.0,0.49142978063059883,0,1,0,0,1,0.0,1
2.0,0.6293785310734463,0,1,1,1,1,1.0,1
3.0,0.7970215113072255,0,1,1,0,0,0.0,1
2.0,0.7970215113072255,1,1,1,1,1,0.0,1
1.0,0.42587666263603385,1,0,0,1,1,1.0,1
3.0,0.7970215113072255,0,0,0,1,1,0.0,1
1.0,0.375916675523435,1,1,1,0,1,0.0,1
1.0,0.49142978063059883,1,1,1,1,1,1.0,1
2.0,0.49142978063059883,1,1,1,1,1,0.0,1
2.0,0.7970215113072255,1,1,0,1,1,1.0,1
2.0,0.7970215113072255,1,1,1,1,1,0.0,1
2.0,0.7970215113072255,1,0,1,1,0,0.0,1
2.0,0.7970215113072255,1,1,0,1,0,0.0,1
1.0,0.375916675523435,0,1,1,0,0,0.0,1
1.0,0.375916675523435,0,0,1,0,1,1.0,1
2.0,0.6413453174833285,1,0,1,1,0,0.0,1
2.0,0.6293785310734463,1,1,1,1,1,0.0,1
2.0,0.5530207677784771,1,1,1,1,0,0.0,1
1.0,0.42587666263603385,1,1,0,1,1,0.0,1
2.0,0.7970215113072255,1,1,0,1,1,0.0,1
1.0,0.49142978063059883,1,1,1,1,0,1.0,1
2.0,0.5530207677784771,1,1,1,1,0,1.0,1
2.0,0.7970215113072255,1,1,0,1,0,0.0,1
2.0,0.5530207677784771,1,0,0,1,0,1.0,1
2.0,0.7970215113072255,1,1,1,1,1,1.0,1
1.0,0.375916675523435,1,0,1,1,1,0.0,1
2.0,0.5530207677784771,1,0,1,1,0,0.0,1
1.0,0.15046867291563887,1,0,1,1,1,0.0,1
1.0,0.375916675523435,0,1,0,1,1,0.0,1
3.0,0.5530207677784771,0,1,1,1,1,0.0,1
2.0,0.7970215113072255,1,1,1,0,0,1.0,1
2.0,0.5530207677784771,1,1,1,1,1,0.0,1
2.0,0.7970215113072255,1,0,1,1,0,0.0,1
1.0,0.49142978063059883,1,0,1,1,0,0.0,1
2.0,0.7970215113072255,1,0,0,1,1,0.0,1
1.0,0.375916675523435,0,0,0,0,1,1.0,1
4.0,0.5530207677784771,1,1,1,0,0,0.0,1
1.0,0.375916675523435,0,0,0,0,1,1.0,1
1.0,0.375916675523435,1,1,1,1,1,0.0,1
2.0,0.7970215113072255,1,1,0,1,1,0.0,1
1.0,0.375916675523435,0,1,0,1,1,0.0,1
2.0,0.7970215113072255,1,1,1,0,0,0.0,1
2.0,0.7970215113072255,1,1,1,1,1,0.0,1
2.0,0.7970215113072255,1,1,0,1,1,0.0,1
1.0,0.49142978063059883,0,1,1,1,1,0.0,1
2.0,0.5530207677784771,0,1,1,0,1,0.0,1
3.0,0.7970215113072255,1,0,1,0,0,0.0,1
2.0,0.7970215113072255,1,1,1,1,0,0.0,1
3.0,0.7970215113072255,0,1,1,0,1,0.0,1
1.0,0.375916675523435,0,1,1,1,1,0.0,1
2.0,0.7970215113072255,1,0,1,1,1,0.0,1
1.0,0.375916675523435,0,1,0,1,1,0.0,1
1.0,0.49142978063059883,0,1,1,0,1,1.0,1
3.0,0.49142978063059883,1,0,1,0,0,0.0,1
2.0,0.6413453174833285,0,1,1,1,1,0.0,1
2.0,0.15046867291563887,0,1,1,0,1,0.0,1
2.0,0.7970215113072255,0,0,1,1,1,0.0,1
2.0,0.6413453174833285,1,1,1,1,0,0.0,1
1.0,0.49142978063059883,1,1,1,1,1,0.0,1
3.0,0.7970215113072255,1,1,1,0,0,0.0,1
2.0,0.7970215113072255,1,1,1,1,0,0.0,1
2.0,0.5530207677784771,1,1,1,1,0,1.0,1
2.0,0.49142978063059883,0,1,0,1,1,1.0,1
2.0,0.7970215113072255,1,1,1,0,0,0.0,1
1.0,0.49142978063059883,0,0,0,1,1,1.0,1
2.0,0.7970215113072255,0,1,1,1,1,1.0,1
2.0,0.6413453174833285,0,0,1,1,1,0.0,1
1.0,0.49142978063059883,0,1,1,0,1,1.0,1
3.0,0.7970215113072255,1,1,1,1,0,0.0,1
2.0,0.7970215113072255,1,1,1,0,1,0.0,1
1.0,0.42587666263603385,1,1,1,1,0,1.0,1
2.0,0.49142978063059883,1,1,1,1,0,1.0,1
2.0,0.7970215113072255,1,1,1,1,0,0.0,1
2.0,0.7970215113072255,1,1,1,0,0,0.0,1
2.0,0.5530207677784771,1,0,1,0,0,0.0,1
1.0,0.375916675523435,0,1,1,0,1,0.0,1
2.0,0.5530207677784771,1,0,1,0,0,0.0,1
2.0,0.6413453174833285,1,0,1,0,0,0.0,1
4.0,0.7970215113072255,0,1,1,1,1,0.0,1
2.0,0.49142978063059883,1,1,1,1,1,0.0,1
2.0,0.49142978063059883,0,1,1,1,1,0.0,1
1.0,0.375916675523435,0,1,1,1,1,0.0,1
2.0,0.5530207677784771,1,1,1,1,1,0.0,1
2.0,0.6413453174833285,1,1,1,1,1,0.0,1
2.0,0.7970215113072255,1,1,1,1,1,0.0,1
1.0,0.375916675523435,1,1,1,1,1,1.0,1
2.0,0.5530207677784771,1,1,1,0,0,1.0,1
3.0,0.7970215113072255,1,1,1,1,0,0.0,1
2.0,0.7970215113072255,0,0,1,0,1,0.0,1
1.0,0.49142978063059883,0,1,1,1,1,0.0,1
2.0,0.49142978063059883,1,0,0,1,0,0.0,1
2.0,0.7970215113072255,1,1,1,1,0,0.0,1
2.0,0.7970215113072255,1,0,0,1,1,0.0,1
2.0,0.7970215113072255,0,1,1,1,1,0.0,1
2.0,0.7970215113072255,1,1,0,1,1,0.0,1
2.0,0.6413453174833285,1,0,1,1,1,0.0,1
1.0,0.49142978063059883,0,1,0,0,1,0.0,1
2.0,0.5530207677784771,1,1,1,1,1,0.0,1
3.0,0.7970215113072255,0,1,1,1,0,0.0,1
3.0,0.49142978063059883,1,1,1,0,0,0.0,1
3.0,0.7970215113072255,1,1,1,1,0,0.0,1
1.0,0.375916675523435,0,1,1,0,1,0.0,1
2.0,0.15046867291563887,0,0,1,1,1,0.0,1
2.0,0.7970215113072255,1,0,0,1,0,0.0,1
2.0,0.7970215113072255,1,1,0,1,0,0.0,1
2.0,0.7970215113072255,1,1,1,1,1,0.0,1
1.0,0.49142978063059883,0,1,1,1,1,0.0,1
2.0,0.7970215113072255,1,1,0,1,0,0.0,1
2.0,0.5530207677784771,1,1,1,1,1,0.0,1
1.0,0.49142978063059883,1,1,1,1,1,0.0,1
2.0,0.6413453174833285,1,1,1,1,1,0.0,1
2.0,0.15046867291563887,0,1,1,1,1,0.0,1
2.0,0.544515494343335,0,1,1,1,1,0.0,1
1.0,0.49142978063059883,0,1,1,0,1,0.0,1
3.0,0.7970215113072255,1,0,0,1,0,1.0,1
1.0,0.49142978063059883,0,1,1,0,1,1.0,1
1.0,0.375916675523435,1,0,1,0,1,0.0,1
2.0,0.7970215113072255,1,1,1,1,1,0.0,1
2.0,0.5530207677784771,1,1,1,0,0,0.0,1
2.0,0.7970215113072255,0,1,1,0,1,1.0,1
1.0,0.49142978063059883,0,1,1,1,1,0.0,1
2.0,0.49142978063059883,1,1,1,1,1,0.0,1
2.0,0.6293785310734463,0,1,1,1,1,0.0,1
2.0,0.7970215113072255,1,1,1,1,0,0.0,1
2.0,0.49142978063059883,1,1,1,1,0,0.0,1
2.0,0.5530207677784771,1,0,0,1,0,1.0,1
2.0,0.5530207677784771,1,1,1,1,0,0.0,1
2.0,0.544515494343335,0,0,1,1,1,0.0,1
1.0,0.49142978063059883,0,1,1,1,1,0.0,1
2.0,0.7970215113072255,0,1,1,1,0,1.0,1
2.0,0.7970215113072255,1,1,1,1,0,1.0,1
2.0,0.5530207677784771,1,1,1,1,0,1.0,1
2.0,0.49142978063059883,1,1,1,1,1,0.0,1
2.0,0.5530207677784771,1,1,1,1,0,0.0,1
1.0,0.375916675523435,1,1,1,0,1,0.0,1
1.0,0.49142978063059883,0,1,1,1,1,1.0,1
1.0,0.375916675523435,0,1,0,1,1,0.0,1
2.0,0.7970215113072255,1,1,1,0,0,0.0,1
1.0,0.49142978063059883,0,1,1,1,1,1.0,1
2.0,0.6413453174833285,1,0,1,1,1,0.0,1
2.0,0.7970215113072255,1,1,1,1,0,0.0,1
2.0,0.6293785310734463,1,0,0,1,1,0.0,1
1.0,0.49142978063059883,0,1,1,1,1,0.0,1
1.0,0.49142978063059883,0,0,1,0,1,0.0,1
1.0,0.49142978063059883,1,1,1,1,0,0.0,1
2.0,0.6413453174833285,1,0,0,1,1,0.0,1
2.0,0.5530207677784771,1,1,1,0,0,0.0,1
1.0,0.49142978063059883,1,1,1,0,1,0.0,1
2.0,0.7970215113072255,1,1,1,1,0,0.0,1
2.0,0.7970215113072255,1,1,1,1,1,0.0,1
1.0,0.42587666263603385,1,1,1,1,0,0.0,1
1.0,0.42587666263603385,0,0,0,1,1,0.0,1
2.0,0.6293785310734463,0,1,1,0,1,0.0,1
1.0,0.49142978063059883,0,1,1,1,1,0.0,1
2.0,0.5530207677784771,1,1,1,1,0,1.0,1
1.0,0.42587666263603385,0,1,1,1,1,0.0,1
2.0,0.544515494343335,0,0,0,1,1,1.0,1
1.0,0.375916675523435,1,0,1,1,0,1.0,1
2.0,0.7970215113072255,0,0,1,1,1,0.0,1
3.0,0.7970215113072255,1,0,1,1,0,0.0,1
1.0,0.49142978063059883,0,1,1,1,1,0.0,1
4.0,0.49142978063059883,1,1,1,1,1,0.0,1
1.0,0.375916675523435,0,1,1,0,1,1.0,1
2.0,0.7970215113072255,1,1,1,0,0,0.0,1
2.0,0.49142978063059883,1,1,0,1,1,0.0,1
2.0,0.15046867291563887,0,1,1,1,1,0.0,1
2.0,0.544515494343335,1,1,1,1,0,1.0,1
3.0,0.7970215113072255,0,1,1,1,1,0.0,1
2.0,0.6413453174833285,1,1,1,1,1,0.0,1
2.0,0.5530207677784771,1,1,1,0,0,0.0,1
2.0,0.7970215113072255,0,0,1,1,1,0.0,1
2.0,0.7970215113072255,1,1,1,0,0,0.0,1
2.0,0.5530207677784771,1,1,1,1,1,0.0,1
2.0,0.7970215113072255,0,0,0,0,1,1.0,1
2.0,0.49142978063059883,0,1,1,0,1,1.0,1
2.0,0.7970215113072255,1,1,1,1,0,1.0,1
1.0,0.49142978063059883,0,0,0,0,1,0.0,1
2.0,0.7970215113072255,1,1,1,1,0,1.0,1
2.0,0.544515494343335,1,1,1,1,1,1.0,1
1.0,0.5530207677784771,1,1,1,1,1,0.0,1
2.0,0.7970215113072255,1,0,0,1,0,0.0,1
3.0,0.544515494343335,0,1,1,0,1,0.0,1
1.0,0.375916675523435,0,0,0,1,1,1.0,1
2.0,0.544515494343335,0,0,0,1,1,1.0,1
2.0,0.6413453174833285,1,1,1,1,0,0.0,1
2.0,0.49142978063059883,1,1,1,1,0,0.0,1
4.0,0.49142978063059883,0,1,1,0,1,0.0,1
1.0,0.49142978063059883,0,1,1,0,1,0.0,1
2.0,0.6413453174833285,0,0,1,1,1,0.0,1
1.0,0.375916675523435,0,1,1,0,1,0.0,1
2.0,0.6293785310734463,1,1,1,1,1,0.0,1
1.0,0.42587666263603385,1,1,1,0,0,0.0,1
1.0,0.375916675523435,0,1,0,0,0,0.0,1
2.0,0.49142978063059883,1,1,1,1,1,0.0,1
2.0,0.6293785310734463,1,1,1,1,1,0.0,1
2.0,0.49142978063059883,1,0,1,1,0,0.0,1
2.0,0.544515494343335,0,1,1,0,1,0.0,1
2.0,0.7970215113072255,1,1,1,1,1,0.0,1
1.0,0.49142978063059883,1,1,1,0,0,0.0,1
3.0,0.6293785310734463,0,1,1,1,1,0.0,1
1.0,0.375916675523435,0,1,1,1,1,0.0,1
1.0,0.6413453174833285,1,1,1,1,1,0.0,1
1.0,0.375916675523435,0,0,0,1,1,1.0,1
2.0,0.5530207677784771,1,1,1,1,0,0.0,1
2.0,0.15046867291563887,1,1,1,1,0,0.0,1
2.0,0.6293785310734463,0,0,1,1,1,0.0,1
1.0,0.49142978063059883,0,1,1,1,1,0.0,1
3.0,0.49142978063059883,1,1,1,1,1,0.0,1
3.0,0.6413453174833285,1,1,1,1,0,0.0,1
1.0,0.49142978063059883,1,1,1,0,1,0.0,1
2.0,0.6413453174833285,1,1,1,1,0,0.0,1
1.0,0.49142978063059883,0,1,0,1,1,0.0,1
1.0,0.375916675523435,0,0,1,0,1,0.0,1
3.0,0.5530207677784771,1,1,1,1,0,1.0,1
1.0,0.49142978063059883,1,1,1,0,0,1.0,1
3.0,0.5530207677784771,1,1,0,1,0,0.0,1
2.0,0.5530207677784771,0,1,1,1,1,0.0,1
2.0,0.15046867291563887,0,0,0,0,1,0.0,1
2.0,0.7970215113072255,0,1,1,0,1,0.0,1
3.0,0.7970215113072255,0,1,1,0,1,0.0,1
1.0,0.7970215113072255,1,1,1,0,0,0.0,1
2.0,0.7970215113072255,1,1,1,0,1,0.0,1
1.0,0.375916675523435,0,0,0,0,1,0.0,1
2.0,0.7970215113072255,0,1,1,1,1,0.0,1
2.0,0.6293785310734463,1,1,1,1,1,0.0,1
2.0,0.6413453174833285,1,1,1,1,1,0.0,1
2.0,0.15046867291563887,0,0,0,1,1,0.0,1
3.0,0.7970215113072255,0,1,1,1,1,1.0,1
1.0,0.49142978063059883,0,0,0,1,1,1.0,1
1.0,0.49142978063059883,0,1,0,0,1,1.0,1
2.0,0.15046867291563887,0,0,0,1,1,0.0,1
2.0,0.6293785310734463,1,1,1,1,1,0.0,1
1.0,0.42587666263603385,1,1,1,1,1,0.0,1
2.0,0.49142978063059883,1,1,1,1,1,0.0,1
2.0,0.5530207677784771,1,1,0,1,0,0.0,1
2.0,0.49142978063059883,1,0,1,1,1,0.0,1
1.0,0.375916675523435,1,1,0,0,1,0.0,1
3.0,0.7970215113072255,1,1,1,1,1,1.0,1
2.0,0.544515494343335,0,0,1,1,1,0.0,1
1.0,0.49142978063059883,1,1,1,1,0,0.0,1
2.0,0.7970215113072255,1,1,1,1,0,0.0,1
1.0,0.42587666263603385,1,1,1,1,0,1.0,1
2.0,0.7970215113072255,1,0,0,1,1,1.0,1
2.0,0.7970215113072255,1,1,1,1,1,0.0,1
1.0,0.49142978063059883,1,1,1,0,1,0.0,1
1.0,0.49142978063059883,0,1,0,1,1,0.0,1
2.0,0.5530207677784771,1,1,1,1,0,1.0,1
1.0,0.375916675523435,1,1,1,0,1,0.0,1
1.0,0.6413453174833285,1,1,1,1,0,1.0,1
1.0,0.7970215113072255,1,1,1,1,1,0.0,1
2.0,0.7970215113072255,1,0,1,1,0,0.0,1
2.0,0.5530207677784771,0,0,1,1,1,0.0,1
1.0,0.49142978063059883,1,1,0,1,0,0.0,1
2.0,0.7970215113072255,0,1,0,1,0,0.0,1
1.0,0.42587666263603385,0,1,1,0,1,1.0,1
2.0,0.7970215113072255,0,0,0,0,1,0.0,1
1.0,0.49142978063059883,0,0,0,1,1,1.0,1
1.0,0.49142978063059883,1,0,1,1,1,0.0,1
2.0,0.7970215113072255,1,1,1,1,1,0.0,1
2.0,0.15046867291563887,1,1,1,1,1,1.0,1
1.0,0.375916675523435,0,1,0,0,1,0.0,1
2.0,0.5530207677784771,0,1,1,0,1,1.0,1
2.0,0.7970215113072255,0,1,1,1,1,1.0,1
1.0,0.42587666263603385,1,0,0,0,1,0.0,1
3.0,0.7970215113072255,1,1,1,0,1,0.0,1
1.0,0.49142978063059883,0,1,1,0,1,1.0,1
1.0,0.49142978063059883,0,1,1,0,1,1.0,1
3.0,0.6413453174833285,1,1,1,1,0,0.0,1
1.0,0.49142978063059883,0,1,0,1,1,0.0,1
1.0,0.42587666263603385,0,1,1,1,1,1.0,1
1.0,0.42587666263603385,1,0,1,1,1,1.0,1
2.0,0.7970215113072255,0,0,0,1,1,0.0,1
2.0,0.7970215113072255,1,1,1,0,0,0.0,1
1.0,0.49142978063059883,0,1,1,1,1,1.0,1
3.0,0.544515494343335,0,1,1,0,1,0.0,1
2.0,0.7970215113072255,0,1,0,1,1,0.0,1
2.0,0.5530207677784771,1,0,1,1,0,0.0,1
1.0,0.42587666263603385,0,1,1,1,1,1.0,1
2.0,0.7970215113072255,0,1,0,1,1,0.0,1
2.0,0.7970215113072255,1,1,1,1,1,0.0,1
2.0,0.49142978063059883,1,1,1,0,1,0.0,1
1.0,0.49142978063059883,0,0,0,0,1,0.0,1
1.0,0.375916675523435,0,1,1,0,1,0.0,1
2.0,0.7970215113072255,0,1,1,1,1,0.0,1
1.0,0.49142978063059883,0,0,1,1,1,0.0,1
2.0,0.7970215113072255,1,0,1,1,1,1.0,1
2.0,0.6413453174833285,1,1,1,1,0,1.0,1
1.0,0.49142978063059883,1,1,1,1,0,0.0,1
2.0,0.15046867291563887,0,1,1,1,1,0.0,1
2.0,0.49142978063059883,1,1,1,1,0,1.0,1
2.0,0.7970215113072255,1,1,1,1,1,0.0,1
3.0,0.7970215113072255,0,1,1,0,1,0.0,1
1.0,0.375916675523435,1,1,0,1,0,0.0,1
4.0,0.49142978063059883,0,0,0,0,1,0.0,1
2.0,0.7970215113072255,1,0,1,0,0,0.0,1
3.0,0.7970215113072255,1,1,1,1,1,0.0,1
2.0,0.49142978063059883,1,1,1,1,0,0.0,1
3.0,0.7970215113072255,1,1,1,0,0,0.0,1
2.0,0.49142978063059883,0,1,1,1,1,1.0,1
3.0,0.7970215113072255,1,1,1,1,1,0.0,1
2.0,0.6413453174833285,1,1,1,1,0,0.0,1
4.0,0.7970215113072255,1,0,1,1,1,0.0,1
2.0,0.7970215113072255,0,1,1,1,1,1.0,1
